id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Shattered Echoes,Iron Crown,metal,aggressive,0.94,168,0.22,0.44,0.08
12,Dusty Roads,Whiskey Tales,country,nostalgic,0.58,92,0.65,0.48,0.76
13,Neon Pulse,Synth Wave,electronic,energetic,0.87,138,0.72,0.91,0.12
14,Island Breeze,Reggae Roots,reggae,laid-back,0.52,105,0.73,0.68,0.81
15,Midnight Soul,Jazz Heart,R&B,smooth,0.65,98,0.78,0.71,0.38
16,Moonlight Sonata,Classique,classical,calm,0.35,76,0.62,0.22,0.94
17,Funk It Up,Groove Kings,funk,groovy,0.81,115,0.82,0.87,0.25
18,Trap Dreams,Beat Drop,trap,dark,0.72,96,0.38,0.84,0.15
19,La Fiesta,Los Ritmos,latin,celebratory,0.86,128,0.79,0.89,0.42
20,Whispered Memories,Folk Singer,folk,wistful,0.48,88,0.61,0.45,0.87
