id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
101,Dancing Lights,Bright Waves,pop,happy,0.88,128,0.85,0.86,0.12
102,Summer Vibes,The Sunsets,pop,happy,0.85,122,0.82,0.84,0.15
103,Electric Dreams,Pulse Beat,pop,happy,0.86,126,0.83,0.85,0.10
104,Midnight Jazz,Cool Notes,jazz,relaxed,0.38,92,0.68,0.52,0.88
105,Peak Energy,Max Drive,pop,intense,0.92,135,0.79,0.89,0.08
106,Chill Vibes,LoRoom,lofi,chill,0.42,78,0.58,0.61,0.72
107,Upbeat Groove,Funky Fresh,pop,happy,0.84,120,0.84,0.83,0.14
108,Night Reflections,Ambient Dreams,ambient,chill,0.30,65,0.62,0.40,0.91
109,Pop Celebration,Joy Makers,pop,happy,0.87,130,0.86,0.87,0.11
110,Focus Zone,Study Beats,lofi,focused,0.41,82,0.61,0.59,0.75
111,Rhythm Rush,Dance Floor,pop,happy,0.89,132,0.87,0.88,0.09
112,Acoustic Sunrise,Guitar Story,acoustic,relaxed,0.36,88,0.70,0.48,0.92
113,Bright Future,Optimist Crew,pop,happy,0.83,118,0.81,0.82,0.16
114,Rock Anthem,Thunder Siren,rock,intense,0.90,150,0.50,0.70,0.12
115,Party Mode,Disco Fever,pop,happy,0.91,138,0.88,0.90,0.07
116,Lofi Afternoon,Chill Lab,lofi,chill,0.40,75,0.57,0.60,0.78
117,Synthwave Pulse,Neon Nights,synthwave,moody,0.77,114,0.51,0.75,0.20
118,Happy Place,Smile Band,pop,happy,0.82,116,0.80,0.81,0.18
119,Indie Groove,Local Heroes,indie pop,happy,0.78,125,0.79,0.80,0.32
120,Electronic Pop,Synth Wave,pop,happy,0.86,129,0.84,0.85,0.13
